Time	Distance	Velocity
1.256	1.03241	0.18271
1.258	1.03277	0.17615
1.26	1.03311	0.16961
1.262	1.03345	0.16308
1.264	1.03377	0.15656
1.266	1.03407	0.15005
1.268	1.03437	0.14355
1.27	1.03465	0.13706
1.272	1.03491	0.13058
1.274	1.03517	0.12412
1.276	1.03541	0.11767
1.278	1.03564	0.11122
1.28	1.03586	0.10479
1.282	1.03606	0.09837
1.284	1.03625	0.09197
1.286	1.03643	0.08557
1.288	1.03659	0.07919
1.29	1.03674	0.07282
1.292	1.03688	0.06646
1.294	1.03701	0.06011
1.296	1.03712	0.05377
1.298	1.03722	0.04745
1.3	1.03731	0.04114
1.302	1.03739	0.03484
1.304	1.03745	0.02855
1.306	1.0375	0.02227
1.308	1.03754	0.01601
1.31	1.03757	0.00976
1.312	1.03758	0.00352
1.314	1.03758	-0.00271
1.316	1.03757	-0.00892
1.318	1.03755	-0.01512
1.32	1.03751	-0.02131
1.322	1.03746	-0.02749
1.324	1.0374	-0.03365
1.326	1.03733	-0.0398
1.328	1.03724	-0.04594
1.33	1.03714	-0.05207
1.332	1.03703	-0.05818
1.334	1.03691	-0.06428
1.336	1.03677	-0.07036
1.338	1.03663	-0.07644
1.34	1.03647	-0.0825
1.342	1.0363	-0.08854
1.344	1.03611	-0.09458
1.346	1.03592	-0.1006
1.348	1.03571	-0.10661
1.35	1.03549	-0.1126
1.352	1.03526	-0.11858
1.354	1.03502	-0.12455
1.356	1.03476	-0.1305
1.358	1.0345	-0.13645
1.36	1.03422	-0.14237
1.362	1.03393	-0.14829
1.364	1.03362	-0.15419
1.366	1.03331	-0.16007
1.368	1.03298	-0.16595
1.37	1.03265	-0.17181
1.372	1.0323	-0.17765
1.374	1.03194	-0.18348
1.376	1.03156	-0.1893
1.378	1.03118	-0.1951
1.38	1.03078	-0.20089
1.382	1.03038	-0.20667
1.384	1.02996	-0.21243
1.386	1.02953	-0.21818
1.388	1.02908	-0.22391
1.39	1.02863	-0.22963
1.392	1.02817	-0.23534
1.394	1.02769	-0.24103
1.396	1.0272	-0.24671
1.398	1.0267	-0.25237
1.4	1.02619	-0.25802
1.402	1.02567	-0.26365
1.404	1.02514	-0.26927
1.406	1.02459	-0.27488
1.408	1.02404	-0.28047
1.41	1.02347	-0.28604
1.412	1.02289	-0.2916
1.414	1.0223	-0.29715
1.416	1.0217	-0.30268
1.418	1.02109	-0.3082
1.42	1.02047	-0.3137
1.422	1.01984	-0.31919
1.424	1.0192	-0.32466
1.426	1.01854	-0.33012
1.428	1.01787	-0.33557
1.43	1.0172	-0.34099
1.432	1.01651	-0.34641
1.434	1.01581	-0.35181
1.436	1.0151	-0.35719
1.438	1.01438	-0.36256
1.44	1.01365	-0.36791
1.442	1.01291	-0.37325
1.444	1.01216	-0.37858
1.446	1.0114	-0.38388
1.448	1.01062	-0.38918
1.45	1.00984	-0.39445
1.452	1.00905	-0.39972
1.454	1.00824	-0.40496
1.456	1.00743	-0.4102
1.458	1.0066	-0.41541
1.46	1.00577	-0.42061
1.462	1.00492	-0.4258
1.464	1.00406	-0.43097
1.466	1.0032	-0.43612
1.468	1.00232	-0.44126
1.47	1.00143	-0.44639
1.472	1.00053	-0.45149
1.474	0.99962	-0.45659
